method,n_runs,KSComplement_mean,KSComplement_std,TVComplement_mean,TVComplement_std,CorrelationSimilarity_mean,CorrelationSimilarity_std,ContingencySimilarity_mean,ContingencySimilarity_std
bayesian_network,5,0.7273651442642753,0.000570880749467155,0.8966454490544999,0.0006311360138505424,0.9701990493915871,0.0006117494997802944,0.7889072155368676,0.000745287923914589
privbayes,5,0.8524202016447522,0.06303246236585658,0.9444919388561074,0.029733243687836856,0.9602021920574119,0.009022037471834032,0.8911440253283862,0.053038213563920356
ctgan,5,0.6962616735585188,0.060963076302679844,0.8686428471867303,0.03828214130007682,0.986461701848348,0.001929281250022311,0.7595834356601907,0.07501862575033198
dpgan,5,0.3139655252520559,0.060611323894551025,0.22254913348510894,0.06262854558189886,0.9504583270882705,0.0066261179022977625,0.0687626525776412,0.024879724212589986
