method,n_runs,tstr_xgboost_auc_mean,tstr_xgboost_auc_std,trtr_xgboost_auc_mean,trtr_xgboost_auc_std,retention_xgboost_mean,retention_xgboost_std,tstr_logistic_regression_auc_mean,tstr_logistic_regression_auc_std,trtr_logistic_regression_auc_mean,trtr_logistic_regression_auc_std,retention_logistic_regression_mean,retention_logistic_regression_std
bayesian_network,5,0.7593546947130042,0.010292819235641234,0.9273908159858315,1.2412670766236366e-16,0.8188076500475129,0.01109868575170199,0.7561049777893911,0.031177942164024183,0.9019926037220916,0.0,0.8382607292668565,0.034565629513332745
privbayes,5,0.8534058262927156,0.05010986195528813,0.9273908159858315,1.2412670766236366e-16,0.9202224257370192,0.05403316605202797,0.8378556963679122,0.04474736927481444,0.9019926037220916,0.0,0.9288941981458418,0.04960946363657913
ctgan,5,0.8625831083238975,0.005281058536723166,0.9273908159858315,1.2412670766236366e-16,0.9301182343572784,0.00569453400410193,0.871359383619313,0.004122569827230252,0.9019926037220916,0.0,0.9660382801628641,0.0045705140044589926
dpgan,5,0.5087128734430799,0.09208095631876484,0.9273908159858315,1.2412670766236366e-16,0.5485420651942835,0.09929034742583824,0.5585492698080887,0.19047286625560095,0.9019926037220916,0.0,0.6192393014124764,0.2111689890467069
aim,5,0.6783320994106206,0.019769282532106084,0.9273908159858315,1.2412670766236366e-16,0.731441467521481,0.021317099750541534,0.7323762448102662,0.04607154818789637,0.9019926037220916,0.0,0.8119537142412258,0.051077523249948104
