method,n_runs,KSComplement_mean,KSComplement_std,TVComplement_mean,TVComplement_std,CorrelationSimilarity_mean,CorrelationSimilarity_std,ContingencySimilarity_mean,ContingencySimilarity_std
bayesian_network,5,0.7273651442642753,0.000570880749467155,0.8966454490544999,0.0006311360138505424,0.9701990493915871,0.0006117494997802944,0.7889072155368676,0.000745287923914589
privbayes,5,0.8524202016447522,0.06303246236585658,0.9444919388561074,0.029733243687836856,0.9602021920574119,0.009022037471834032,0.8911440253283862,0.053038213563920356
ctgan,5,0.6637550527342844,0.08725374918524052,0.8712702690145425,0.03818810951662843,0.9845776691189144,0.002716552829418751,0.7717146441348458,0.06772487867170451
dpgan,5,0.2888091808762719,0.09970151496348,0.24801491427774938,0.032265428208590435,0.9566098502993585,0.012620003807690386,0.0863992672290772,0.021850481084622474
