method,KSComplement,TVComplement,CorrelationSimilarity,ContingencySimilarity
bayesian_network,0.728922547971937,0.8969822980067834,0.9726001708046448,0.7888355314248544
privbayes,0.935975468103889,0.9465804023602657,0.9687124959391994,0.8771430562653905
ctgan,0.7055614923570135,0.8522801189425266,0.9854338840072844,0.7276932981992685
dpgan,0.19909863866561348,0.20981624308878877,0.9557229446386423,0.05854368416511242
