method,n_runs,tstr_xgboost_auc_mean,tstr_xgboost_auc_std,trtr_xgboost_auc_mean,trtr_xgboost_auc_std,retention_xgboost_mean,retention_xgboost_std,tstr_logistic_regression_auc_mean,tstr_logistic_regression_auc_std,trtr_logistic_regression_auc_mean,trtr_logistic_regression_auc_std,retention_logistic_regression_mean,retention_logistic_regression_std
bayesian_network,5,0.7593546947130042,0.010292819235641234,0.9273908159858315,1.2412670766236366e-16,0.8188076500475129,0.01109868575170199,0.7561049777893911,0.031177942164024183,0.9019926037220916,0.0,0.8382607292668565,0.034565629513332745
privbayes,5,0.8534058262927156,0.05010986195528813,0.9273908159858315,1.2412670766236366e-16,0.9202224257370192,0.05403316605202797,0.8378556963679122,0.04474736927481444,0.9019926037220916,0.0,0.9288941981458418,0.04960946363657913
ctgan,5,0.8741663037482217,0.002075528759759437,0.9273908159858315,1.2412670766236366e-16,0.9426083250770265,0.0022380303147094553,0.8748957698226055,0.0018878479723388852,0.9019926037220916,0.0,0.9699589178584498,0.0020929750028421943
dpgan,5,0.526150705513457,0.1052677886930479,0.9273908159858315,1.2412670766236366e-16,0.5673451757813132,0.11350963032898542,0.551419374038266,0.12979195994276302,0.9019926037220916,0.0,0.6113346958310106,0.14389470535254253
