bins,n_marginals,n_numeric_pairs,numeric_pairs,fit_secs,KSComplement,TVComplement,CorrelationSimilarity,ContingencySimilarity,xgb_syn_id,xgb_gt,linear_syn_id,ceiling_KSComplement,ceiling_TVComplement,ceiling_CorrelationSimilarity,ceiling_ContingencySimilarity
5,37,2,agexeducation_num; agexhours_per_week,223.2,0.8456441945825397,0.9846849881522092,0.9038219574721861,0.9351955715148579,0.7605356810058188,0.9198840726437556,0.7488328342063159,0.844278214003624,1.0,0.9927387552557793,1.0
10,32,2,agexhours_per_week; agexeducation_num,189.0,0.8921804581145751,0.9828265111740929,0.8874452582639977,0.9261371556009851,0.6738492241917868,0.9198840726437556,0.6647224349448283,0.8906657993774102,1.0,0.9979591902628897,1.0
20,33,0,-,152.8,0.9116480044603448,0.9858233053013056,0.8148007958261818,0.9088898255022865,0.6587431857526721,0.9198840726437556,0.5946521665986998,0.9139525159132091,1.0,0.9983770440865124,1.0
25,32,0,-,108.8,0.9198810574734007,0.992931979742601,0.90986657914787,0.9544905449983739,0.784388064163535,0.9198840726437556,0.7100049593299115,0.9193420991497467,1.0,0.9979719146551573,1.0
32,33,0,-,140.4,0.9401756260744321,0.993803140826093,0.8992068928757073,0.962636315967636,0.799952633729088,0.9198840726437556,0.7799958063305577,0.9378525298517865,1.0,0.999369599799955,1.0
50,36,0,-,144.8,0.9306323467918041,0.9943722994006413,0.8550602142233874,0.955748335667492,0.7660132477579846,0.9198840726437556,0.7415490696264073,0.9311434279607862,1.0,0.999267128543193,1.0
100,30,0,-,118.5,0.9556009849927986,0.9929610184453841,0.8409389467969115,0.9487657721639974,0.7923166615589083,0.9198840726437556,0.7797789053988293,0.9565395158667472,1.0,0.9996505438681325,1.0
