attack,num_train,num_test,wall_time_s,peak_memory_mb,auc,mia_advantage,privacy_gain,tp,fp,eff_epsilon_pointwise,eff_epsilon_pointwise_is_inf,eps_low_90,eps_high_90,eps_low_95,eps_high_95,eps_low_99,eps_high_99,method,dp,kind,formal_epsilon
Groundhog,50,100,1671.94,327.33,0.542,0.06000000000000005,0.94,0.56,0.5,0.5596157879354228,False,0.0,0.08518508932966586,0.0,0.10160810134076174,0.0,0.13927678647793845,dpgan,True,neural,1.0
ShadowModelling(RandomQueries),50,100,49.88,0.98,0.5496,0.10000000000000003,0.8999999999999999,0.56,0.46,0.6931471805599453,False,0.0,0.30064397267381543,0.0,0.33477234473592976,0.0,0.4058090833634486,dpgan,True,neural,1.0
"LocalNeighbourhood(L_2, 0.250411558405805, accuracy)",50,100,0.44,1.1,0.5,0.0,1.0,0.0,0.0,0.0,False,0.0,0.08578789428171946,0.0,0.10190759615521093,0.0,0.13933638481646463,dpgan,True,neural,1.0
ProbabilityEstimation(KernelDensity()),50,100,0.48,0.94,0.4704,-0.020000000000000018,1.02,0.54,0.56,0.22314355131420976,False,0.0,0.14518489039490926,0.0,0.17175651382511084,0.0,0.22758671066071584,dpgan,True,neural,1.0
"ClosestDistance(L_2, accuracy)",50,100,0.44,1.08,0.3868,-0.16000000000000003,1.1600000000000001,0.4,0.56,-0.026668247082161294,False,0.0,0.17085154043527132,0.0,0.20106551312349602,0.0,0.2639321142261553,dpgan,True,neural,1.0
