method,epsilon,run_idx,seed,tstr_xgboost_auc,trtr_xgboost_auc,retention_xgboost,tstr_logistic_regression_auc,trtr_logistic_regression_auc,retention_logistic_regression
aim,10.0,0,100,0.7098629438492582,0.9273908159858316,0.7654409895084655,0.7466473594053944,0.9019926037220916,0.8277754787836821
aim,10.0,1,101,0.7130624328600877,0.9273908159858316,0.7688909794756709,0.7480484060621897,0.9019926037220916,0.8293287583239066
aim,10.0,2,102,0.7340113557181429,0.9273908159858316,0.7914800783722198,0.8510923845193509,0.9019926037220916,0.9435691390453759
aim,10.0,3,103,0.7199224987660772,0.9273908159858316,0.7762881477328281,0.7590905626687571,0.9019926037220916,0.8415707174719104
aim,10.0,4,104,0.7889155633945941,0.9273908159858316,0.8506829588946964,0.8597828296025318,0.9019926037220916,0.9532038578305629
