method,mia_auc,mia_advantage,mia_privacy_gain,mia_eff_epsilon,mia_tp,mia_fp,aia_auc,aia_advantage,aia_privacy_gain,aia_eff_epsilon,eps_low_90,eps_high_90
bayesian_network,0.5149111111111111,0.046666666666666634,0.9533333333333334,1.203972804325936,0.5233333333333333,0.4766666666666667,0.7555430348692042,0.20706747379728827,0.7929325262027117,3.799171609446485,0.0,0.03023989687730801
privbayes,0.49818888888888885,-0.006666666666666654,1.0066666666666666,0.3022808718729335,0.49666666666666665,0.5033333333333333,0.8345309642017247,0.30665810179136543,0.6933418982086346,inf,0.0,0.0180371121418239
ctgan,0.4614888888888889,-0.0733333333333333,1.0733333333333333,0.9808292530117263,0.4633333333333333,0.5366666666666666,0.8748864065267253,0.44487613593473274,0.5551238640652673,inf,0.0,0.013562056816621605
dpgan,0.5066333333333334,0.040000000000000036,0.96,0.7884573603642661,0.52,0.48,0.7302686685248091,0.02426436431205181,0.9757356356879482,inf,0.0,0.037937927738085575
