method,n_runs,KSComplement_mean,KSComplement_std,TVComplement_mean,TVComplement_std,CorrelationSimilarity_mean,CorrelationSimilarity_std,ContingencySimilarity_mean,ContingencySimilarity_std
bayesian_network,5,0.7273651442642753,0.000570880749467155,0.8966454490544999,0.0006311360138505424,0.9701990493915871,0.0006117494997802944,0.7889072155368676,0.000745287923914589
privbayes,5,0.8524202016447522,0.06303246236585658,0.9444919388561074,0.029733243687836856,0.9602021920574119,0.009022037471834032,0.8911440253283862,0.053038213563920356
ctgan,5,0.6637550527342844,0.08725374918524052,0.8712702690145425,0.03818810951662843,0.9845776691189144,0.002716552829418751,0.7717146441348458,0.06772487867170451
dpgan,5,0.2888091808762719,0.09970151496348,0.24801491427774938,0.032265428208590435,0.9566098502993585,0.012620003807690386,0.0863992672290772,0.021850481084622474
aim,5,0.9130753147795382,0.0006394079172149501,0.9875725967569577,0.005218615073950205,0.7838940994796413,0.0061762973744103455,0.9424549153397361,0.020858193333834183
dpctgan,5,0.3591413836361102,0.08497110167520427,0.7064489151140642,0.060279644426729756,0.8890288012965225,0.029175039111023315,0.5444716947318815,0.07047422289702818
great,5,0.8981108581517446,0.006426983812056485,0.6878281374490529,0.019478031079982857,0.9714657465027484,0.0036932822796934333,0.5275041317925675,0.017494173012445133
