method,n_runs,tstr_xgboost_auc_mean,tstr_xgboost_auc_std,trtr_xgboost_auc_mean,trtr_xgboost_auc_std,retention_xgboost_mean,retention_xgboost_std,tstr_logistic_regression_auc_mean,tstr_logistic_regression_auc_std,trtr_logistic_regression_auc_mean,trtr_logistic_regression_auc_std,retention_logistic_regression_mean,retention_logistic_regression_std
bayesian_network,5,0.7593546947130042,0.010292819235641234,0.9273908159858315,1.2412670766236366e-16,0.8188076500475129,0.01109868575170199,0.7561049777893911,0.031177942164024183,0.9019926037220916,0.0,0.8382607292668565,0.034565629513332745
privbayes,5,0.8534058262927156,0.05010986195528811,0.9273908159858315,1.2412670766236366e-16,0.9202224257370192,0.054033166052027945,0.8378556963679122,0.04474736927481444,0.9019926037220916,0.0,0.9288941981458418,0.04960946363657913
ctgan,5,0.8625831083238975,0.005281058536723166,0.9273908159858315,1.2412670766236366e-16,0.9301182343572784,0.00569453400410193,0.871359383619313,0.004122569827230252,0.9019926037220916,0.0,0.9660382801628641,0.0045705140044589926
dpgan,5,0.5087128190053132,0.09208096221511008,0.9273908159858315,1.2412670766236366e-16,0.5485420064943636,0.09929035378383223,0.5585492698080887,0.19047286625560095,0.9019926037220916,0.0,0.6192393014124764,0.2111689890467069
aim,5,0.6800324812008245,0.027037200747046512,0.9273908159858315,1.2412670766236366e-16,0.7332749790905994,0.02915405272620212,0.7476954315826146,0.021118843221866558,0.9019926037220916,0.0,0.8289374308583394,0.02341354367510243
dpctgan,5,0.6491813467177655,0.12722617252468968,0.9273908159858315,1.2412670766236366e-16,0.7000083843052458,0.137187224988255,0.6009957937752228,0.07301240053596901,0.9019926037220916,0.0,0.6662979178489946,0.08094567542425711
great,5,0.893173885114537,0.006407662086151165,0.9273908159858315,1.2412670766236366e-16,0.9631040869917161,0.006909343909492706,0.8816834697906687,0.006592612489918685,0.9019926037220916,0.0,0.9774841458260113,0.007308942958860337
